date,body_mass,walking_steps,walking_km,walking_kcal,carbs_index_estimation,fats_index_estimation,proteins_index_estimation
06.12.21,"66,5",2560,"1,99",83,3.0,1.0,1.0
07.12.21,,1069,"0,85",34,3.0,1.0,1.0
08.12.21,"66,6",7193,"5,68",220,1.0,2.0,1.0
09.12.21,"65,5",589,"0,46",19,2.0,1.0,0.0
10.12.21,"64,7",7216,"5,68",222,1.0,1.0,1.0
11.12.21,"66,1",6518,"5,19",215,1.0,2.0,2.0
12.12.21,66,7609,"5,97",233,1.0,2.0,2.0
13.12.21,"65,7",4693,"3,73",144,1.0,1.0,1.0
14.12.21,"65,9",4363,"3,35",160,1.0,2.0,2.0
15.12.21,"65,4",1387,"1,08",44,2.0,1.0,1.0
16.12.21,"66,4",5180,"3,96",189,2.0,2.0,1.0
17.12.21,"66,9",8494,"6,53",322,2.0,1.0,1.0
18.12.21,"65,6",12402,"9,62",434,2.0,1.0,2.0
19.12.21,"65,7",22,"0,01",0,1.0,0.0,0.0
20.12.21,"64,9",3927,"3,05",138,1.0,0.0,1.0
21.12.21,"65,2",3640,"2,8",136,2.0,2.0,1.0
22.12.21,"64,7",8431,"6,61",280,2.0,2.0,1.0
23.12.21,"65,3",1359,"1,05",47,1.0,1.0,2.0
24.12.21,"65,5",10748,"8,33",364,1.0,1.0,2.0
25.12.21,"65,5",55,"0,05",2,2.0,1.0,1.0
26.12.21,,42,"0,03",1,1.0,1.0,1.0
27.12.21,66,4139,"3,18",152,1.0,1.0,1.0
28.12.21,66,4247,"3,4",130,1.0,1.0,2.0
29.12.21,"65,4",3737,"2,9",132,1.0,2.0,2.0
30.12.21,"65,4",938,"0,73",30,2.0,2.0,1.0
31.12.21,"66,5",11761,"9,09",433,2.0,1.0,1.0
01.01.22,"66,7",6887,"5,42",209,2.0,2.0,1.0
02.01.22,"65,8",4165,"3,33",129,1.0,0.0,2.0
03.01.22,"66,3",3104,"2,48",94,2.0,1.0,2.0
04.01.22,"65,2",1787,"1,4",59,2.0,1.0,1.0
05.01.22,"65,3",46,"0,03",1,1.0,1.0,1.0
06.01.22,65,6942,"5,56",211,1.0,1.0,1.0
